URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-resistenzmechanismen-determinanten-loinc,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Resistenzmechanismen_Determinanten_LOINC,MII VS Mikrobio Resistenzmechanismen Determinanten [LOINC],"Tests-ValueSet für Resistenzmechanismen und Determinanten: LOINC-Codes für den Nachweis von Resistenzgenen, Resistenzproteinen und funktionalen Resistenztests.","StructureDefinition/mii-pr-mikrobio-resistenzmechanismen-determinanten","LOINC"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-resistenzmechanismen-methode-snomed,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Resistenzmechanismen_Methode_SNOMED,MII VS Mikrobio Resistenzmechanismen Methode [SNOMED],"Methoden für den Nachweis von Resistenzgenen oder Resistenzmutationen (molekulare Verfahren).","StructureDefinition/mii-pr-mikrobio-resistenzmechanismen-determinanten","SCT"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-spezifische-bestimmung-ergebnis-snomed,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Spezifische_Bestimmung_Ergebnis_SNOMED,MII VS Mikrobio Spezifische Bestimmung Ergebnis [SNOMED],"Ergebnis-ValueSet fuer die spezifische Bestimmung: Nachweis oder Ausschluss des Ziels, das bereits im Untersuchungscode benannt ist, einschliesslich der Graubereichsbefunde schwach positiv und nicht eindeutig. Ein unbestimmbares Ergebnis wird nicht ueber value[x], sondern ueber Observation.dataAbsentReason abgebildet.","StructureDefinition/mii-pr-mikrobio-spezifische-bestimmung","SCT"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-spezifische-bestimmung-methode-snomed,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Spezifische_Bestimmung_Methode_SNOMED,MII VS Mikrobio Spezifische Bestimmung Methode [SNOMED],"Methoden-ValueSet für die spezifische Bestimmung: nicht kulturbasierte Verfahren des zielgerichteten Erregernachweises, etwa Amplifikation, Immunoassay oder Agglutination.","StructureDefinition/mii-pr-mikrobio-spezifische-bestimmung","SCT"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-spezifische-bestimmung-tests-loinc,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Spezifische_Bestimmung_Tests_LOINC,MII VS Mikrobio Spezifische Bestimmung Tests [LOINC],"Tests-ValueSet fuer die spezifische Bestimmung.","StructureDefinition/mii-pr-mikrobio-spezifische-bestimmung","LOINC"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-spezifische-kultur-methode-snomed,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Spezifische_Kultur_Methode_SNOMED,MII VS Mikrobio Spezifische Kultur Methode [SNOMED],"Methoden-ValueSet fuer die spezifische Kultur. Extensible gebunden, damit staerker spezialisierte Kulturverfahren ergaenzt werden koennen.","StructureDefinition/mii-pr-mikrobio-spezifische-kultur","SCT"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-spezifische-kultur-tests-loinc,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Spezifische_Kultur_Tests_LOINC,MII VS Mikrobio Spezifische Kultur Tests [LOINC],"Tests-ValueSet fuer die spezifische Kultur: erregerspezifische Kulturnachweise, bei denen das gesuchte Ziel bereits im LOINC-Code benannt ist.","StructureDefinition/mii-pr-mikrobio-spezifische-kultur","LOINC"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-susceptibility,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Susceptibility,MII VS Mikrobio Susceptibility,"Bewertungs-ValueSet für die phänotypische Empfindlichkeitstestung: die Kategorien sensibel, intermediär, sensibel bei erhöhter Exposition, resistent und nicht sensibel.","StructureDefinition/mii-pr-mikrobio-empfindlichkeit","THO (V3),SCT"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-susceptibility-norm,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Susceptibility_NORM,MII VS Mikrobio Susceptibility Norm,"Norm-ValueSet für die Empfindlichkeitstestung: das Normsystem, auf dessen Grenzwerten eine Kategorie beruht. Gebunden an die Extension MII_EX_Mikrobio_Empfindlichkeit_Norm.","StructureDefinition/mii-ex-mikrobio-empfindlichkeit-norm","Internal"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-titer-methode-snomed,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Titer_Methode_SNOMED,MII VS Mikrobio Titer Methode [SNOMED],"Methoden-ValueSet für die Titerbestimmung: Verfahren serieller Verdünnungsreihen.","StructureDefinition/mii-pr-mikrobio-titer","SCT"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-titer-tests-loinc,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Titer_Tests_LOINC,MII VS Mikrobio Titer Tests [LOINC],"Tests-ValueSet für die Titerbestimmung: LOINC-Codes für semiquantitative Messungen aus Verdünnungsreihen.","StructureDefinition/mii-pr-mikrobio-titer","LOINC"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-virulenz-loinc,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Virulenz_LOINC,MII VS Mikrobio Virulenz [LOINC],"Tests-ValueSet für Virulenzfaktoren: LOINC-Codes für den Nachweis oder Ausschluss von Virulenzdeterminanten.","StructureDefinition/mii-pr-mikrobio-virulenzfaktor","LOINC"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-voraussichtliche-empfindlichkeit,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Voraussichtliche_Empfindlichkeit,MII VS Mikrobio Voraussichtliche Empfindlichkeit,"Ergebnis-ValueSet für die voraussichtliche Empfindlichkeit: die aus genotypischen Nachweisen abgeleitete erwartete Kategorie sensibel, intermediär oder resistent.","StructureDefinition/mii-pr-mikrobio-voraussichtliche-empfindlichkeit","THO (V3)"
